1975: T1_OFF_SHIELD                                                    : T1.0 Shield
2097: T7_OFF_SHIELD_AVALON@4                                           : T7.4 Astral Aegis
2098: T8_OFF_SHIELD_AVALON                                             : T8.0 Astral Aegis
2099: T8_OFF_SHIELD_AVALON@1                                           : T8.1 Astral Aegis
2100: T8_OFF_SHIELD_AVALON@2                                           : T8.2 Astral Aegis
2101: T8_OFF_SHIELD_AVALON@3                                           : T8.3 Astral Aegis
2102: T8_OFF_SHIELD_AVALON@4                                           : T8.4 Astral Aegis
2103: T2_OFF_BOOK                                                      : T2.0 Tome of Spells
2104: T3_OFF_BOOK                                                      : T3.0 Tome of Spells
2105: T4_OFF_BOOK                                                      : T4.0 Tome of Spells
2106: T4_OFF_BOOK@1                                                    : T4.1 Tome of Spells
2107: T4_OFF_BOOK@2                                                    : T4.2 Tome of Spells
2108: T4_OFF_BOOK@3                                                    : T4.3 Tome of Spells
2109: T4_OFF_BOOK@4                                                    : T4.4 Tome of Spells
2110: T5_OFF_BOOK                                                      : T5.0 Tome of Spells
2111: T5_OFF_BOOK@1                                                    : T5.1 Tome of Spells
2112: T5_OFF_BOOK@2                                                    : T5.2 Tome of Spells
2113: T5_OFF_BOOK@3                                                    : T5.3 Tome of Spells
2114: T5_OFF_BOOK@4                                                    : T5.4 Tome of Spells
2115: T6_OFF_BOOK                                                      : T6.0 Tome of Spells
2116: T6_OFF_BOOK@1                                                    : T6.1 Tome of Spells
2117: T6_OFF_BOOK@2                                                    : T6.2 Tome of Spells
2118: T6_OFF_BOOK@3                                                    : T6.3 Tome of Spells
2119: T6_OFF_BOOK@4                                                    : T6.4 Tome of Spells
2120: T7_OFF_BOOK                                                      : T7.0 Tome of Spells
2121: T7_OFF_BOOK@1                                                    : T7.1 Tome of Spells
2122: T7_OFF_BOOK@2                                                    : T7.2 Tome of Spells
2123: T7_OFF_BOOK@3                                                    : T7.3 Tome of Spells
2124: T7_OFF_BOOK@4                                                    : T7.4 Tome of Spells
2125: T8_OFF_BOOK                                                      : T8.0 Rosalia's Diary
2126: T8_OFF_BOOK@1                                                    : T8.1 Rosalia's Diary
2127: T8_OFF_BOOK@2                                                    : T8.2 Rosalia's Diary
2128: T8_OFF_BOOK@3                                                    : T8.3 Rosalia's Diary
2129: T8_OFF_BOOK@4                                                    : T8.4 Rosalia's Diary
2130: T4_OFF_ORB_MORGANA                                               : T4.0 Eye of Secrets
2131: T4_OFF_ORB_MORGANA@1                                             : T4.1 Eye of Secrets
2132: T4_OFF_ORB_MORGANA@2                                             : T4.2 Eye of Secrets
2133: T4_OFF_ORB_MORGANA@3                                             : T4.3 Eye of Secrets
2134: T4_OFF_ORB_MORGANA@4                                             : T4.4 Eye of Secrets
2135: T5_OFF_ORB_MORGANA                                               : T5.0 Eye of Secrets
2136: T5_OFF_ORB_MORGANA@1                                             : T5.1 Eye of Secrets
2137: T5_OFF_ORB_MORGANA@2                                             : T5.2 Eye of Secrets
2138: T5_OFF_ORB_MORGANA@3                                             : T5.3 Eye of Secrets
2139: T5_OFF_ORB_MORGANA@4                                             : T5.4 Eye of Secrets
2140: T6_OFF_ORB_MORGANA                                               : T6.0 Eye of Secrets
2141: T6_OFF_ORB_MORGANA@1                                             : T6.1 Eye of Secrets
2142: T6_OFF_ORB_MORGANA@2                                             : T6.2 Eye of Secrets
2143: T6_OFF_ORB_MORGANA@3                                             : T6.3 Eye of Secrets
2144: T6_OFF_ORB_MORGANA@4                                             : T6.4 Eye of Secrets
2145: T7_OFF_ORB_MORGANA                                               : T7.0 Eye of Secrets
2146: T7_OFF_ORB_MORGANA@1                                             : T7.1 Eye of Secrets
2147: T7_OFF_ORB_MORGANA@2                                             : T7.2 Eye of Secrets
2148: T7_OFF_ORB_MORGANA@3                                             : T7.3 Eye of Secrets
2149: T7_OFF_ORB_MORGANA@4                                             : T7.4 Eye of Secrets
2150: T8_OFF_ORB_MORGANA                                               : T8.0 Eye of Secrets
2151: T8_OFF_ORB_MORGANA@1                                             : T8.1 Eye of Secrets
2152: T8_OFF_ORB_MORGANA@2                                             : T8.2 Eye of Secrets
2153: T8_OFF_ORB_MORGANA@3                                             : T8.3 Eye of Secrets
2154: T8_OFF_ORB_MORGANA@4                                             : T8.4 Eye of Secrets
2155: T4_OFF_DEMONSKULL_HELL                                           : T4.0 Muisak
2156: T4_OFF_DEMONSKULL_HELL@1                                         : T4.1 Muisak
2157: T4_OFF_DEMONSKULL_HELL@2                                         : T4.2 Muisak
2158: T4_OFF_DEMONSKULL_HELL@3                                         : T4.3 Muisak
2159: T4_OFF_DEMONSKULL_HELL@4                                         : T4.4 Muisak
2160: T5_OFF_DEMONSKULL_HELL                                           : T5.0 Muisak
2161: T5_OFF_DEMONSKULL_HELL@1                                         : T5.1 Muisak
2162: T5_OFF_DEMONSKULL_HELL@2                                         : T5.2 Muisak
2163: T5_OFF_DEMONSKULL_HELL@3                                         : T5.3 Muisak
2164: T5_OFF_DEMONSKULL_HELL@4                                         : T5.4 Muisak
2165: T6_OFF_DEMONSKULL_HELL                                           : T6.0 Muisak
2166: T6_OFF_DEMONSKULL_HELL@1                                         : T6.1 Muisak
2167: T6_OFF_DEMONSKULL_HELL@2                                         : T6.2 Muisak
2168: T6_OFF_DEMONSKULL_HELL@3                                         : T6.3 Muisak
2169: T6_OFF_DEMONSKULL_HELL@4                                         : T6.4 Muisak
2170: T7_OFF_DEMONSKULL_HELL                                           : T7.0 Muisak
2171: T7_OFF_DEMONSKULL_HELL@1                                         : T7.1 Muisak
2172: T7_OFF_DEMONSKULL_HELL@2                                         : T7.2 Muisak
2173: T7_OFF_DEMONSKULL_HELL@3                                         : T7.3 Muisak
2174: T7_OFF_DEMONSKULL_HELL@4                                         : T7.4 Muisak
2175: T8_OFF_DEMONSKULL_HELL                                           : T8.0 Muisak
2176: T8_OFF_DEMONSKULL_HELL@1                                         : T8.1 Muisak
2177: T8_OFF_DEMONSKULL_HELL@2                                         : T8.2 Muisak
2178: T8_OFF_DEMONSKULL_HELL@3                                         : T8.3 Muisak
2179: T8_OFF_DEMONSKULL_HELL@4                                         : T8.4 Muisak
2180: T4_OFF_TOTEM_KEEPER                                              : T4.0 Taproot
2181: T4_OFF_TOTEM_KEEPER@1                                            : T4.1 Taproot
2182: T4_OFF_TOTEM_KEEPER@2                                            : T4.2 Taproot
2183: T4_OFF_TOTEM_KEEPER@3                                            : T4.3 Taproot
2184: T4_OFF_TOTEM_KEEPER@4                                            : T4.4 Taproot
2185: T5_OFF_TOTEM_KEEPER                                              : T5.0 Taproot
2186: T5_OFF_TOTEM_KEEPER@1                                            : T5.1 Taproot
2187: T5_OFF_TOTEM_KEEPER@2                                            : T5.2 Taproot
2188: T5_OFF_TOTEM_KEEPER@3                                            : T5.3 Taproot
2189: T5_OFF_TOTEM_KEEPER@4                                            : T5.4 Taproot
2190: T6_OFF_TOTEM_KEEPER                                              : T6.0 Taproot
2191: T6_OFF_TOTEM_KEEPER@1                                            : T6.1 Taproot
2192: T6_OFF_TOTEM_KEEPER@2                                            : T6.2 Taproot
2193: T6_OFF_TOTEM_KEEPER@3                                            : T6.3 Taproot
2194: T6_OFF_TOTEM_KEEPER@4                                            : T6.4 Taproot
2195: T7_OFF_TOTEM_KEEPER                                              : T7.0 Taproot
2196: T7_OFF_TOTEM_KEEPER@1                                            : T7.1 Taproot
2197: T7_OFF_TOTEM_KEEPER@2                                            : T7.2 Taproot
2198: T7_OFF_TOTEM_KEEPER@3                                            : T7.3 Taproot
2199: T7_OFF_TOTEM_KEEPER@4                                            : T7.4 Taproot
2200: T8_OFF_TOTEM_KEEPER                                              : T8.0 Taproot
2201: T8_OFF_TOTEM_KEEPER@1                                            : T8.1 Taproot
2202: T8_OFF_TOTEM_KEEPER@2                                            : T8.2 Taproot
2203: T8_OFF_TOTEM_KEEPER@3                                            : T8.3 Taproot
2204: T8_OFF_TOTEM_KEEPER@4                                            : T8.4 Taproot
2205: T4_OFF_CENSER_AVALON                                             : T4.0 Celestial Censer
2206: T4_OFF_CENSER_AVALON@1                                           : T4.1 Celestial Censer
2207: T4_OFF_CENSER_AVALON@2                                           : T4.2 Celestial Censer
2208: T4_OFF_CENSER_AVALON@3                                           : T4.3 Celestial Censer
2209: T4_OFF_CENSER_AVALON@4                                           : T4.4 Celestial Censer
2210: T5_OFF_CENSER_AVALON                                             : T5.0 Celestial Censer
2211: T5_OFF_CENSER_AVALON@1                                           : T5.1 Celestial Censer
2212: T5_OFF_CENSER_AVALON@2                                           : T5.2 Celestial Censer
2213: T5_OFF_CENSER_AVALON@3                                           : T5.3 Celestial Censer
2214: T5_OFF_CENSER_AVALON@4                                           : T5.4 Celestial Censer
2215: T6_OFF_CENSER_AVALON                                             : T6.0 Celestial Censer
2216: T6_OFF_CENSER_AVALON@1                                           : T6.1 Celestial Censer
2217: T6_OFF_CENSER_AVALON@2                                           : T6.2 Celestial Censer
2218: T6_OFF_CENSER_AVALON@3                                           : T6.3 Celestial Censer
2219: T6_OFF_CENSER_AVALON@4                                           : T6.4 Celestial Censer
2220: T7_OFF_CENSER_AVALON                                             : T7.0 Celestial Censer
2221: T7_OFF_CENSER_AVALON@1                                           : T7.1 Celestial Censer
2222: T7_OFF_CENSER_AVALON@2                                           : T7.2 Celestial Censer
2223: T7_OFF_CENSER_AVALON@3                                           : T7.3 Celestial Censer
2224: T7_OFF_CENSER_AVALON@4                                           : T7.4 Celestial Censer
2225: T8_OFF_CENSER_AVALON                                             : T8.0 Celestial Censer
2226: T8_OFF_CENSER_AVALON@1                                           : T8.1 Celestial Censer
2227: T8_OFF_CENSER_AVALON@2                                           : T8.2 Celestial Censer
2228: T8_OFF_CENSER_AVALON@3                                           : T8.3 Celestial Censer
2229: T8_OFF_CENSER_AVALON@4                                           : T8.4 Celestial Censer
2230: T3_OFF_TORCH                                                     : T3.0 Torch
2231: T4_OFF_TORCH                                                     : T4.0 Torch
2232: T4_OFF_TORCH@1                                                   : T4.1 Torch
2233: T4_OFF_TORCH@2                                                   : T4.2 Torch
2234: T4_OFF_TORCH@3                                                   : T4.3 Torch
2235: T4_OFF_TORCH@4                                                   : T4.4 Torch
2236: T5_OFF_TORCH                                                     : T5.0 Torch
2237: T5_OFF_TORCH@1                                                   : T5.1 Torch
2238: T5_OFF_TORCH@2                                                   : T5.2 Torch
2239: T5_OFF_TORCH@3                                                   : T5.3 Torch
2240: T5_OFF_TORCH@4                                                   : T5.4 Torch
2241: T6_OFF_TORCH                                                     : T6.0 Torch
2242: T6_OFF_TORCH@1                                                   : T6.1 Torch
2243: T6_OFF_TORCH@2                                                   : T6.2 Torch
2244: T6_OFF_TORCH@3                                                   : T6.3 Torch
2245: T6_OFF_TORCH@4                                                   : T6.4 Torch
2246: T7_OFF_TORCH                                                     : T7.0 Torch
2247: T7_OFF_TORCH@1                                                   : T7.1 Torch
2248: T7_OFF_TORCH@2                                                   : T7.2 Torch
2249: T7_OFF_TORCH@3                                                   : T7.3 Torch
2250: T7_OFF_TORCH@4                                                   : T7.4 Torch
2251: T8_OFF_TORCH                                                     : T8.0 Torch
2252: T8_OFF_TORCH@1                                                   : T8.1 Torch
2253: T8_OFF_TORCH@2                                                   : T8.2 Torch
2254: T8_OFF_TORCH@3                                                   : T8.3 Torch
2255: T8_OFF_TORCH@4                                                   : T8.4 Torch
2256: T4_OFF_HORN_KEEPER                                               : T4.0 Mistcaller
2257: T4_OFF_HORN_KEEPER@1                                             : T4.1 Mistcaller
2258: T4_OFF_HORN_KEEPER@2                                             : T4.2 Mistcaller
2259: T4_OFF_HORN_KEEPER@3                                             : T4.3 Mistcaller
2260: T4_OFF_HORN_KEEPER@4                                             : T4.4 Mistcaller
2261: T5_OFF_HORN_KEEPER                                               : T5.0 Mistcaller
2262: T5_OFF_HORN_KEEPER@1                                             : T5.1 Mistcaller
2263: T5_OFF_HORN_KEEPER@2                                             : T5.2 Mistcaller
2264: T5_OFF_HORN_KEEPER@3                                             : T5.3 Mistcaller
2265: T5_OFF_HORN_KEEPER@4                                             : T5.4 Mistcaller
2266: T6_OFF_HORN_KEEPER                                               : T6.0 Mistcaller
2267: T6_OFF_HORN_KEEPER@1                                             : T6.1 Mistcaller
2268: T6_OFF_HORN_KEEPER@2                                             : T6.2 Mistcaller
2269: T6_OFF_HORN_KEEPER@3                                             : T6.3 Mistcaller
2270: T6_OFF_HORN_KEEPER@4                                             : T6.4 Mistcaller
2271: T7_OFF_HORN_KEEPER                                               : T7.0 Mistcaller
2272: T7_OFF_HORN_KEEPER@1                                             : T7.1 Mistcaller
2273: T7_OFF_HORN_KEEPER@2                                             : T7.2 Mistcaller
2274: T7_OFF_HORN_KEEPER@3                                             : T7.3 Mistcaller
2275: T7_OFF_HORN_KEEPER@4                                             : T7.4 Mistcaller
2276: T8_OFF_HORN_KEEPER                                               : T8.0 Mistcaller
2277: T8_OFF_HORN_KEEPER@1                                             : T8.1 Mistcaller
2278: T8_OFF_HORN_KEEPER@2                                             : T8.2 Mistcaller
2279: T8_OFF_HORN_KEEPER@3                                             : T8.3 Mistcaller
2280: T8_OFF_HORN_KEEPER@4                                             : T8.4 Mistcaller
2281: T4_OFF_TALISMAN_AVALON                                           : T4.0 Sacred Scepter
2282: T4_OFF_TALISMAN_AVALON@1                                         : T4.1 Sacred Scepter
2283: T4_OFF_TALISMAN_AVALON@2                                         : T4.2 Sacred Scepter
2284: T4_OFF_TALISMAN_AVALON@3                                         : T4.3 Sacred Scepter
2285: T4_OFF_TALISMAN_AVALON@4                                         : T4.4 Sacred Scepter
2286: T5_OFF_TALISMAN_AVALON                                           : T5.0 Sacred Scepter
2287: T5_OFF_TALISMAN_AVALON@1                                         : T5.1 Sacred Scepter
2288: T5_OFF_TALISMAN_AVALON@2                                         : T5.2 Sacred Scepter
2289: T5_OFF_TALISMAN_AVALON@3                                         : T5.3 Sacred Scepter
2290: T5_OFF_TALISMAN_AVALON@4                                         : T5.4 Sacred Scepter
2291: T6_OFF_TALISMAN_AVALON                                           : T6.0 Sacred Scepter
2292: T6_OFF_TALISMAN_AVALON@1                                         : T6.1 Sacred Scepter
2293: T6_OFF_TALISMAN_AVALON@2                                         : T6.2 Sacred Scepter
2294: T6_OFF_TALISMAN_AVALON@3                                         : T6.3 Sacred Scepter
2295: T6_OFF_TALISMAN_AVALON@4                                         : T6.4 Sacred Scepter
2296: T7_OFF_TALISMAN_AVALON                                           : T7.0 Sacred Scepter
2297: T7_OFF_TALISMAN_AVALON@1                                         : T7.1 Sacred Scepter
2298: T7_OFF_TALISMAN_AVALON@2                                         : T7.2 Sacred Scepter
2299: T7_OFF_TALISMAN_AVALON@3                                         : T7.3 Sacred Scepter
2300: T7_OFF_TALISMAN_AVALON@4                                         : T7.4 Sacred Scepter
2301: T8_OFF_TALISMAN_AVALON                                           : T8.0 Sacred Scepter
2302: T8_OFF_TALISMAN_AVALON@1                                         : T8.1 Sacred Scepter
2303: T8_OFF_TALISMAN_AVALON@2                                         : T8.2 Sacred Scepter
2304: T8_OFF_TALISMAN_AVALON@3                                         : T8.3 Sacred Scepter
2305: T8_OFF_TALISMAN_AVALON@4                                         : T8.4 Sacred Scepter
2306: T4_OFF_LAMP_UNDEAD                                               : T4.0 Cryptcandle
2307: T4_OFF_LAMP_UNDEAD@1                                             : T4.1 Cryptcandle
2308: T4_OFF_LAMP_UNDEAD@2                                             : T4.2 Cryptcandle
2309: T4_OFF_LAMP_UNDEAD@3                                             : T4.3 Cryptcandle
2310: T4_OFF_LAMP_UNDEAD@4                                             : T4.4 Cryptcandle
2311: T5_OFF_LAMP_UNDEAD                                               : T5.0 Cryptcandle
2312: T5_OFF_LAMP_UNDEAD@1                                             : T5.1 Cryptcandle
2313: T5_OFF_LAMP_UNDEAD@2                                             : T5.2 Cryptcandle
2314: T5_OFF_LAMP_UNDEAD@3                                             : T5.3 Cryptcandle
2315: T5_OFF_LAMP_UNDEAD@4                                             : T5.4 Cryptcandle
2316: T6_OFF_LAMP_UNDEAD                                               : T6.0 Cryptcandle
2317: T6_OFF_LAMP_UNDEAD@1                                             : T6.1 Cryptcandle
2318: T6_OFF_LAMP_UNDEAD@2                                             : T6.2 Cryptcandle
2319: T6_OFF_LAMP_UNDEAD@3                                             : T6.3 Cryptcandle
2320: T6_OFF_LAMP_UNDEAD@4                                             : T6.4 Cryptcandle
2321: T7_OFF_LAMP_UNDEAD                                               : T7.0 Cryptcandle
2322: T7_OFF_LAMP_UNDEAD@1                                             : T7.1 Cryptcandle
2323: T7_OFF_LAMP_UNDEAD@2                                             : T7.2 Cryptcandle
2324: T7_OFF_LAMP_UNDEAD@3                                             : T7.3 Cryptcandle
2325: T7_OFF_LAMP_UNDEAD@4                                             : T7.4 Cryptcandle
2326: T8_OFF_LAMP_UNDEAD                                               : T8.0 Cryptcandle
2327: T8_OFF_LAMP_UNDEAD@1                                             : T8.1 Cryptcandle
2328: T8_OFF_LAMP_UNDEAD@2                                             : T8.2 Cryptcandle
2329: T8_OFF_LAMP_UNDEAD@3                                             : T8.3 Cryptcandle
2330: T8_OFF_LAMP_UNDEAD@4                                             : T8.4 Cryptcandle
2331: T4_OFF_JESTERCANE_HELL                                           : T4.0 Leering Cane
2332: T4_OFF_JESTERCANE_HELL@1                                         : T4.1 Leering Cane
2333: T4_OFF_JESTERCANE_HELL@2                                         : T4.2 Leering Cane
2334: T4_OFF_JESTERCANE_HELL@3                                         : T4.3 Leering Cane
2335: T4_OFF_JESTERCANE_HELL@4                                         : T4.4 Leering Cane
2336: T5_OFF_JESTERCANE_HELL                                           : T5.0 Leering Cane
2337: T5_OFF_JESTERCANE_HELL@1                                         : T5.1 Leering Cane
2338: T5_OFF_JESTERCANE_HELL@2                                         : T5.2 Leering Cane
2339: T5_OFF_JESTERCANE_HELL@3                                         : T5.3 Leering Cane
2340: T5_OFF_JESTERCANE_HELL@4                                         : T5.4 Leering Cane
2341: T6_OFF_JESTERCANE_HELL                                           : T6.0 Leering Cane
2342: T6_OFF_JESTERCANE_HELL@1                                         : T6.1 Leering Cane
2343: T6_OFF_JESTERCANE_HELL@2                                         : T6.2 Leering Cane
2344: T6_OFF_JESTERCANE_HELL@3                                         : T6.3 Leering Cane
